community_area,count
,2862
6,318
66,1658
72,336
10,301
67,1612
7,255
73,879
11,293
68,1475
74,313
8,617
12,100
69,1612
75,732
9,71
13,186
76,103
14,581
20,545
77,391
15,795
21,535
16,653
22,1116
17,378
23,1786
18,155
24,860
30,1400
19,1482
25,3134
31,580
26,731
32,200
27,787
33,241
28,1148
34,109
40,605
29,1395
35,408
41,289
36,186
42,1129
37,209
43,2166
38,650
44,1218
50,387
39,354
45,325
51,579
46,1533
52,525
47,104
53,1230
48,376
54,364
60,338
1,793
49,1667
55,203
61,1382
2,793
56,430
62,232
3,607
57,231
63,758
4,310
58,856
64,356
70,655
5,246
59,245
65,557
71,2058
