primary_type,community_area,count
ARSON,,1317
ASSAULT,,39821
BATTERY,,118422
BURGLARY,,32560
CRIM SEXUAL ASSAULT,,2066
CRIMINAL DAMAGE,,71520
CRIMINAL SEXUAL ASSAULT,,13
CRIMINAL TRESPASS,,17235
DECEPTIVE PRACTICE,,17612
DOMESTIC VIOLENCE,,1
GAMBLING,,1124
HOMICIDE,,367
INTERFERENCE WITH PUBLIC OFFICER,,506
INTIMIDATION,,366
KIDNAPPING,,1177
LIQUOR LAW VIOLATION,,2018
MOTOR VEHICLE THEFT,,32743
NARCOTICS,,67321
OBSCENITY,,26
OFFENSE INVOLVING CHILDREN,,2573
OTHER NARCOTIC VIOLATION,,9
OTHER OFFENSE,,39583
PROSTITUTION,,8016
PUBLIC INDECENCY,,12
PUBLIC PEACE VIOLATION,,3406
RITUALISM,,8
ROBBERY,,23270
SEX OFFENSE,,2558
STALKING,,262
THEFT,,122051
WEAPONS VIOLATION,,5503
ASSAULT,0,3
BATTERY,0,13
CRIM SEXUAL ASSAULT,0,1
CRIMINAL DAMAGE,0,12
CRIMINAL TRESPASS,0,3
DECEPTIVE PRACTICE,0,9
MOTOR VEHICLE THEFT,0,3
NARCOTICS,0,2
OTHER OFFENSE,0,11
ROBBERY,0,1
THEFT,0,18
ARSON,1,98
ASSAULT,1,6394
BATTERY,1,19540
BURGLARY,1,5389
CRIM SEXUAL ASSAULT,1,448
CRIMINAL DAMAGE,1,12611
CRIMINAL SEXUAL ASSAULT,1,106
CRIMINAL TRESPASS,1,4013
DECEPTIVE PRACTICE,1,4787
GAMBLING,1,169
HOMICIDE,1,103
HUMAN TRAFFICKING,1,1
INTERFERENCE WITH PUBLIC OFFICER,1,296
INTIMIDATION,1,52
KIDNAPPING,1,73
LIQUOR LAW VIOLATION,1,286
MOTOR VEHICLE THEFT,1,3080
NARCOTICS,1,9619
NON-CRIMINAL,1,2
OBSCENITY,1,15
OFFENSE INVOLVING CHILDREN,1,719
OTHER NARCOTIC VIOLATION,1,4
OTHER OFFENSE,1,7125
PROSTITUTION,1,931
PUBLIC INDECENCY,1,3
PUBLIC PEACE VIOLATION,1,625
ROBBERY,1,4428
SEX OFFENSE,1,550
STALKING,1,67
THEFT,1,23103
WEAPONS VIOLATION,1,912
ARSON,10,51
ASSAULT,10,1711
BATTERY,10,4244
BURGLARY,10,1819
CRIM SEXUAL ASSAULT,10,98
CRIMINAL DAMAGE,10,5102
CRIMINAL SEXUAL ASSAULT,10,12
CRIMINAL TRESPASS,10,767
DECEPTIVE PRACTICE,10,2505
GAMBLING,10,14
HOMICIDE,10,9
HUMAN TRAFFICKING,10,1
INTERFERENCE WITH PUBLIC OFFICER,10,25
INTIMIDATION,10,25
KIDNAPPING,10,62
LIQUOR LAW VIOLATION,10,52
MOTOR VEHICLE THEFT,10,926
NARCOTICS,10,748
NON-CRIMINAL,10,4
OBSCENITY,10,6
OFFENSE INVOLVING CHILDREN,10,259
OTHER OFFENSE,10,2800
PROSTITUTION,10,35
PUBLIC INDECENCY,10,1
PUBLIC PEACE VIOLATION,10,147
ROBBERY,10,265
SEX OFFENSE,10,166
STALKING,10,26
THEFT,10,7718
WEAPONS VIOLATION,10,83
ARSON,11,44
ASSAULT,11,1631
BATTERY,11,4003
BURGLARY,11,1759
CONCEALED CARRY LICENSE VIOLATION,11,1
CRIM SEXUAL ASSAULT,11,60
CRIMINAL DAMAGE,11,4322
CRIMINAL SEXUAL ASSAULT,11,18
CRIMINAL TRESPASS,11,733
DECEPTIVE PRACTICE,11,2023
GAMBLING,11,17
HOMICIDE,11,14
HUMAN TRAFFICKING,11,1
INTERFERENCE WITH PUBLIC OFFICER,11,47
INTIMIDATION,11,21
KIDNAPPING,11,43
LIQUOR LAW VIOLATION,11,76
MOTOR VEHICLE THEFT,11,1286
NARCOTICS,11,927
NON - CRIMINAL,11,3
NON-CRIMINAL,11,2
OBSCENITY,11,10
OFFENSE INVOLVING CHILDREN,11,264
OTHER NARCOTIC VIOLATION,11,2
OTHER OFFENSE,11,2572
